song-title,song-artist,song-lyrics
Mullah Said,Muslimgauze,"ed
"
"Quiet, The Winter Harbor",Mazzy Star,"well youre still walking
around the block
you had a long time
to think who you are
you look so sad
well so you think
you say come over
and youre still a star
youre like a villain
in some old film
walking in the dark
in somebodys room
save me
cause im still sinking
and youve got a harbor
close to the shore
simple
your thoughts are swimming
id like to see them
when youre alone
youve got the same smile
you had before
its just lighter
and what i adore
e
save me
cause im still sinking
and youve got a harbor
close to the shored
"
Rainbow River,Vashti Bunyan,"the rainbow river is a laughing stream
down in a valley by a mountain that is pine tree tall
the rainbow river has a small boy fishing
with a worm and a jam jar by the waterfall
dont make a sound dont disturb the ground
the biggest fish you ever saw is around
and the rainbow river gives a rainbow fish
as one small boy goes running proudly to his mothers call
the stonebuilt farmhouse is a rough stone cottage
hiding close against the hillside up a winding track
the stonebuilt farmhouse has a fairhaired farmer
wearing wooden shoes and building up a new haystack
run in the door stand on the stone floor
the oven opens theres the biggest loaf you ever saw
and the stonebuilt farmhouse gives a good warm welcome
as he sits down in his armchair with a windsor back
the magpie meadow is a glowing evening
colour sun is setting quietly and the boy is tired
the magpie meadow has a sparrow hawk
who hovers hanging on the wind preying eagleeyed
sit by the lantern watch as the years turn
slowly bringing truth for every child to learn
and the magpie meadow darkens gently blue now
as the family sit their faces lit by ember fireed
"
Swallow Song,Vashti Bunyan,"and theres a sunset brimming over the sky
and theres a swallow teaching its young how to fly
up on high see how fast the summer passes by
and theres an oak leaf turning green into brown
and theres a pine so proud of her evergreen gown
looking down see how fast the winter comes around
and theres a rain cloud passing over our heads
and theres a cat on the doorstep waiting to be fed
milk and bread day is done and now its time for beded
"
Timothy Grub,Vashti Bunyan,"maurice snail and timothy grub
swanney and blue and emily grub
decided one day to go into the wood
and build them a house and live there if they could
and they stayed there a while in the trees and the rain
till one day two blue men said youre all insane
and to please not come here again
they had a green car called happiness runs
friday comes and happiness runs
out of petrol and everyone gets out to push
and suddenly see through a gap in the bush
a real caravan just like the one in their dreams
the gypsy doesnt want it for nowadays it seems
his home stays in one place and gleams
he told them that he had a horse down the lane
saturday morning they went back again
he showed them a shed that was built out of tin
he opened the door and they all peered within
and there lying in straw was a horse black as night
with a star on her forehead and eyes full of light
and they all fell in love at first sight
e
they thought and they thought about having black bess
timothy planted some mustard and cress
they lived in a cupboard and made it their home
and lay there and dreamed of the days when theyd roam
up and down all the hills of the north countryside
with the dogs eating buttercups on the wayside
and theyd wave all the cities goodbyed
"
Lily Pond,Vashti Bunyan,"in a lily pond i lay
all upon a summers day
then i chased a dragonfly
all across an ancient sky
falling with a thousand stars
down the milky way to mars
back again in time for day
in a lily pond i lay
the only thing he said to me
was young lady i love thee
in a lily pond i lay
all upon a summers day
then i chased a dragonfly
all across an ancient sky
falling with a thousand stars
down the milky way to mars
back again in time for day
in a lily pond i layed
"
Frozen Laughter,The Rising Storm,"honey is that you
orange
shadows in the nighttime
through my dimly lit mind
when
my heart begins to wander
my thoughts go far beyond her
ahhahhahhahhoh
i
thought that i could love her
but then i couldnt
ahhahhahhahhoh
in the shade of laughter
my crumbling soul blows past her
a drunken filter hides her face
in
the room where men commandco
talking of michelangelo
eorange
shadows in the nighttime
through my dimly lit mind
ahhahhahhahhoh
ahhahhahhahhohd
"
Ce soir je m'en vais,Jacqueline Taieb,"ce soir je men vais
hlas il est fini
le beau voyage londres
demain je serai paris
je sens mon cur si lourd
jai envie de pleurer
et je ne peux pas croire
que maintenant je dois men aller
men aller de ce pays
retrouver mon ancienne vie
quelques souvenirs de plus
et le nom de quelques rues
les derniers disques parus
je suis sur le quai
le bateau va partir
jagite mon mouchoir
mais je narrive pas sourire
mes amis sont venus
on prend quelques photos
qui rappeleront le temps
de mes vacances finies ctait trop beau
si vous venez paris
on samusera bien aussi
on sembrasse une dernire fois
vous vous loignez dj
et vous souriez mais toi
etu restes dans ton coin
tu mappelles pour me dire
que tu aimerais bien pouvoir
tout laisser et partir
good bye my love good bye
je ne toublierai pas
et quand je reviendrai londres
ce sera surtout pour toi
dans ton pays merveilleux
nous avons t heureux
je tcrirai ds demain
langleterre cest pas bien loin
je tassure je reviendrai
lalalala lala lalalala lala
lalalalala lala lalalalala lala
good bye my love good bye
je ne toublierai pas
good bye my love good bye
good bye good bye good bye good bye
good bye my loved
"
你怎能瞞過我,Betty Chung,"chrous
bang bang 
bang bang 
bang bang 
bang bang 
chrous
bang bang 
bang bang 
bang bang 
bang bang 
chrous
bang bang 
bang bang 
bang bang 
bang bang 
e
bang bang
bang bang
bang bangd
"
Luna d'agosto,Piero Umiliani,"pa pa manali simo gigi spa
gionni gioielli bambole per la luna dagosto
nicola siciliano napoli primo contattod
"
Wish I Was a Single Girl Again,Tia Blake,"when i was a single girl
i had clothes of the very best kind
now that im a married girl
go ragged all the time
wish i was a single girl again
wish i was a single girl again
when i was a single girl
i had shoes of the very best kind
now that im a married girl
go barefoot all the time mm
wish i was a single girl again
wish i was a single girl again
when i was a single girl
used to go to the store and buy
now that im a married girl
just rock that cradle and cry
e
wish i was a single girl again
wish i was a single girl again
when a fellow comes acourtin you
and sits you on his knee
keep your eye upon the sparrow that
flits from tree to tree
youll never wish you were a single girl like me
wish i was a single girl againd
"
