song-title,song-artist,song-lyrics
There's a New Day Coming,Menahan Street Band,"intro
i just look in your eyes
they tell me everything and
i just look in your eyes
they tell me everything and
i just look in your eyes
they tell me everything and
i just look in your eyes
they tell me everything and
its started with your phone call
when you forgot what to say
its been a long time coming
leading up to the day when you let go
let go and move on
prechorus
well you can fall in love with someone new
i think about the good shes gonna do
no more being alone
no more saying you wont
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
e
theres a new day coming where theres nowhere to hide
you bottle up your feelings and you keep them inside
no longer
you got to be stronger
prechorus
well you can fall in love with someone new
i think about the good shes gonna do
no more being alone
no more saying you wont
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
when i look in your eyes
they tell me i can love again
and i believe them
i believe themd
"
There's a New Day Coming,Menahan Street Band,"intro
i just look in your eyes
they tell me everything and
i just look in your eyes
they tell me everything and
i just look in your eyes
they tell me everything and
i just look in your eyes
they tell me everything and
its started with your phone call
when you forgot what to say
its been a long time coming
leading up to the day when you let go
let go and move on
prechorus
well you can fall in love with someone new
i think about the good shes gonna do
no more being alone
no more saying you wont
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
e
theres a new day coming where theres nowhere to hide
you bottle up your feelings and you keep them inside
no longer
you got to be stronger
prechorus
well you can fall in love with someone new
i think about the good shes gonna do
no more being alone
no more saying you wont
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
when i look in your eyes
they tell me i can love again
and i believe them
i believe them
when i look in your eyes
they tell me i can love again
and i believe them
i believe themd
"
Sigi Kuruni,Oumou Sangaré,"ti bls og fjrur frs
fimbulvetur rur
yfir vakir lfads
inni loga glur
varlfs heyrist vgagl
vargurinn er ur
lfabarn krmum kjl
krir sig hj mur
hrynja og skjlfa gljfragil
grta ig bjlfar magrir
heima eir sjlfir halda til
hr sofa lfar fagrir
rumuguinn skginn skk
skjl er inn lofum
lesum vi lra bk
leggjumst ar og sofum
lfabrn hrri hll
heyrist enginn grtur
rfa ti risar trll
rast lfagtur
kvldin brenna kaldar senn
klfsins spenna grir
vldin renna aldar enn
lfsins penna rir
hlja greiir hlfa lei
harma sneiir kveini
lja reiir lfa ei
arma neyir veinied
"
Imagining My Man,Aldous Harding,"im going to answer protected
it can be so hard to forgive
its not what i sought and its not what i pictured
when i was imagining my man
you are so nervous all of the time living the classics
i know that imagining my man
imagining imagining my man
all my life hey ive had to fight to stay
you were right love takes time hey hey
you have this dream apparently im not done
i leave and its dreadful
if you get down
be honest respectful
all my life hey i never tried to stay
you were right love takes time hey hey
i hope one day well get that way
lucky to be given the chance
i do not have the answer
but i dont have the wish to go back
e
all my life hey ive had to fight to stay
you were right yes love takes time hey hey
all my life hey ive had to fight to stay
you were right love takes time hey heyd
"
Eye Of The Storm,Ensemble Entendu,"whistling and background thunder sounds
i
am the eye of the storm
inside
i am silent and strong
just waitin for the right right moment to strike
coiled like a cobra
i ohohohohohx
i am the eye of the storm
wind wind howling in my face
tearing up the asphalt
imma getting up in my place
run run nowhere left to hide
i must take a stand now
find the strength inside
welcome to the vortex
absolute ground zero of my heart
pinicle of the apex
nothins gonna tear my soul apart
i
am the eye of the storm
inside
i am silent and strong
just waitin for the right right moment to strike
coiled like a cobra coming to life
ei
am the eye of the storm
inside
i am silent and strong
just waitin for the moment
never see me coming
i ohohohohoh x
i am the eye of the storm
i ohohohohoh x
i am the eye of the storm
pain pain trying to make me break
but im like a fortress
nothing can penetrate
when it gets hard i dont even flinch
fear is not a factor
i wont giveem an inch
welcome to the vortex
absolute ground zero of my heart
pinicle of the apex
nothins gonna tear my soul apart
i
am the eye of the storm
inside
im silent and strong
just waitin for the right right moment to strike
coiled like a cobra coming to life
i
am the eye of the storm
inside
i am silent and strong
just waitin for the moment
never see me coming
i ohohohohoh x
i am the eye of the storm
storm clouds storming
this is your
final warning
i
am the eye of the storm
inside
i am silent and strong
just waitin for the right right moment to strike
coiled like a cobra coming to life
i
am the eye of the storm
inside
i am silent and strong
just waitin for the moment
never see me coming
woahohohohoh
woahohohohoh
i am waiting for the moment
never see me coming
woahohohohoh
woahohohohoh
im just waiting for the moment
never see me coming
whistlingd
"
Sleep A Million Years,Kathy Heideman,"please dont frown at me
when you can smile
our eternity is just a while
dont you know that later on
were going to sleep a million years
please dont be to what you feel
the world is yours if you are real
dont you know that after a while
were going to sleep a million years
dont let your lips say no
when you feel yes
i just might turn from you
if i must guess 
when we dont live our truth
were so much less
bring yourself here to me
now and confess
please dont pass me by
when you could stay
have you not yet learned
we are the 
dont you know that much too soon
were going to sleep a million years
edont let your lips say no
when you feel yes
i just might turn from you
if i must guess 
when we dont live our truth
were so much less
bring yourself here to me
now and confess
please dont pass me by
when you could stay
have you not yet learned
we are the 
dont you know that much too soon
were going to sleep a million yearsd
"
Oh Honey,Delegation,"when i get lost feel ive been crossed
she will be my salvation
when i feel low i know where to go
shell be my inspiration
yeah when my poor heart is breakin apart
shell put it back together
she aint the kind to show off her mind
but talkin of love shes clever yeah
oh honey oh honey
oh honey oh honey
she rarely spends time with her friends
tells me shes blue without me
when things go wrong her faith is strong
i know shell never doubt me
yeah when she arrives and stands by my side
makes me so proud to know her
highsteppin dames with highsoundin names
there aint nothin they could show her yeah
e
oh honey my honey
oh honey honey honey
now i just wanna thank you baby
for givin me a brand new start
i was goin down you saved me
when you let me in your lovin heart yeah
oh honey talkin bout you honey
oh honey honey yeah
oh honey beautiful honey
oh honey you make me feel so proud so proud baby
oh honey my my my baby yeah
oh honey i love you babyd
"
Trust In Me,Etta James,"trust in me in all you do
have the faith i have in you
love will see us through
if only you trust in me
why dont you you trust me
come to me when things go wrong
cling to me daddy woah yeah and ill be strong
we can get along we can get along
oh if only you trust in me
while theres a moon a moon up high
while there are birds birds to fly
while there is you a you and i
i can be sure that i love you
oh stand beside me stand beside me all the while
come on daddy face the future why dont you smile
trust in me and ill
e
be worthy of you
oh yeah yeah
why dont you you trust in me in all you do
and have the faith i i have in you
oh and love will see us through
if only you trust in me
yeah yeah yeah
why dont you you come to me when things go wrong
cling to me and woah and ill be strong
we can get along we can get along
oh if only you trust in me
yeah yeahd
"
A F1GUR3 8,bugcried,"spent hours waiting stoned for space
i spent the same hours in the same damn place
im on a road shaped like a figure 
im going nowhere but im guaranteed to be late
you go out like a riptide
you know that ball has no sides
youre an angel with an amber halo
black hair and the devils pitchfork
windup anger with the endless view of
the grounds colorful patchwork
how have you been
how have you been
how have you
how have you
i drove around for hours i drove around for days
i drove around for months and years and never went no place
were on a pass were on pass
i stopped for gas no working place
we pay for gas to drive around
around the interstate 
see modest mouse liveget tickets as low as e
you go out like a riptide
you know a ball has no sides
youre an angel with an amber halo
black hair and the devils pitchfork
windup anger with the endless view of
the grounds colorful patchwork
how have you been
how have you been
how have you
how have youd
"
Heartlocket,Elusin,"ill keep you in my heartlocket in my heartlocket chain
ill keep you forever soooh
ill keep you in my heartlocket in my heartlocket chain
dont want you to go
oh those nights id spend with you
and wed talk about guns and god
youd shoot with my heart on your sleeve in my mind
id be your shooter for life you said
those nights that id spend with you
id look in your tired eyes
ask you to say that youre okay for tonight
there was a lot on your mind back then
ill keep you in my heartlocket in my heartlocket chain
ill keep you forever soooh
ill keep you in my heartlocket in my heartlocket chain
dont want you to goed
"
